ServiceNo,Step 2 Parallelism Score,Rank
51,0.7355000347438664,103
120,0.7350251217179028,104
143,0.7326565274380565,105
34,0.7318690112384588,106
22,0.7309493065494277,107
857B,0.7292591977716543,108
100,0.7290284080994013,109
186,0.7278637440334174,110
167,0.7203918965381078,111
13,0.7179035020551732,112
972,0.7162254817142942,113
131,0.7159888704877825,114
58,0.7048014056416605,115
121,0.7016674859590193,116
964,0.7001073823930019,117
53A,0.6982281384797259,118
174,0.6967077032427248,119
190,0.6949758129878664,120
70M,0.6943600086769011,121
859T,0.6936246290678612,122
124,0.6931602570818526,123
50,0.6923947268288555,124
39,0.6913227337434953,125
188,0.6909758081432241,126
195,0.6894409846697587,127
130,0.6866966692759904,128
122,0.6753761982953608,129
854,0.6740392190407929,130
123M,0.6708796495488089,131
129,0.6677469061985055,132
129A,0.6651828931298378,133
140,0.663446087160133,134
71,0.6594121216069615,135
180,0.6568894726212469,136
157,0.6558384778159774,137
53,0.6513569965392321,138
991,0.6494924730185275,139
49,0.6420508466439255,140
979,0.6415962666979514,141
855,0.6347386820057129,142
21,0.6334241701753196,143
853M,0.6328341095164836,144
974,0.6311805844907468,145
85,0.6293257208179353,146
401,0.627856401534019,147
142,0.6276504346803498,148
962,0.6271106559141566,149
17,0.6216879224609156,150
70,0.6159135629290331,151
134,0.6146950963255337,152
141,0.6142512873232305,153
60,0.611226853389688,154
92,0.6092814803744602,155
195A,0.5943950717135765,156
142A,0.588629425958763,157
2,0.5884194005659962,158
101,0.5856096520195251,159
135,0.5844921800670878,160
125,0.5819358737721937,161
138,0.5793450298714731,162
81,0.5787633245572227,163
12,0.5772030979188285,164
9,0.5762390198367614,165
983,0.5757004715546203,166
156,0.5707856409728259,167
194,0.5693869666466805,168
196A,0.5654111277255164,169
55B,0.5617538739379596,170
25,0.5606803031294125,171
190A,0.5592457733634824,172
192,0.557504468849129,173
162,0.5561714233672319,174
974A,0.5541351944383072,175
85A,0.5516978568583898,176
163,0.5421293687905184,177
972A,0.5420062676331069,178
159,0.5403605286400248,179
176,0.5335201918684378,180
123,0.5334034749997055,181
189,0.532193632587422,182
90,0.52336787605468,183
990,0.5185815087759142,184
26,0.5164485822698405,185
137,0.5157010072253383,186
139,0.5112056247664002,187
86,0.5093363501596285,188
118A,0.5087442213966431,189
88,0.5051875702649062,190
856,0.5006695634955547,191
173,0.4911704165084829,192
852,0.48779178546037344,193
252,0.4823983517495957,194
853,0.4735477329412871,195
240M,0.4650035841063348,196
45,0.4574373091967017,197
950,0.4569570299539146,198
117,0.4519403386555404,199
18,0.45123456920741273,200
94,0.4508584690502292,201
883M,0.4504525307256359,202
859B,0.4500851697242249,203
36A,0.4471552012547177,204
73,0.446066544094629,205
117M,0.445700148932649,206
62,0.44316674597566014,207
155,0.44182407462076934,208
99,0.4408707564770107,209
74,0.440676521570522,210
193,0.4385769960011155,211
20A,0.4315324283897745,212
40,0.4313113756689312,213
860,0.42471888392522766,214
87,0.42277849422252956,215
169,0.41806513632598713,216
97,0.4177954948387406,217
98A,0.415211832099345,218
198,0.41327778769642365,219
858A,0.4074538729165057,220
172,0.4057582580844291,221
859A,0.4042011894754663,222
136,0.3990910997373634,223
113,0.3985142911003979,224
60T,0.397603004061246,225
73T,0.3969895454979732,226
180A,0.3949732797482913,227
109,0.394462719015782,228
179,0.391198092657205,229
119,0.3909112467666097,230
7B,0.3872947918360256,231
2B,0.3858388920203716,232
3A,0.37810143345591,233
147A,0.3764739229778921,234
925,0.3737437684589176,235
90A,0.3730670600532421,236
102,0.3681576521425719,237
43M,0.3658946900811099,238
31A,0.3614273186989492,239
201,0.3611754390057744,240
3,0.35862562832085093,241
258,0.3565902308125597,242
183,0.3547194517254514,243
925M,0.3546343303368,244
976,0.3542628039628929,245
98M,0.3541186288898107,246
83,0.3510515200665594,247
21A,0.3503945225845077,248
33B,0.3493014721458449,249
70A,0.34864090911882806,250
857A,0.3445106943108995,251
882A,0.343410630034932,252
14A,0.3342414531591459,253
41,0.3302991788969547,254
5A,0.32274592035437,255
66,0.3219437297665181,256
116,0.3212873386243335,257
46,0.31238324874821644,258
95B,0.3122041697607502,259
991B,0.3119111857934548,260
9A,0.30492061620548006,261
991A,0.3033525187934239,262
171,0.2980387673152523,263
183B,0.2966288981993492,264
98,0.2953277862108597,265
160,0.29469953292613865,266
89,0.29334128531001,267
33A,0.2930484805275363,268
15A,0.29287387295999695,269
159A,0.2914287047860985,270
173A,0.2849240557117207,271
50A,0.282105441964714,272
109A,0.2820528987225913,273
969A,0.280625500674762,274
860T,0.2768217484141662,275
983A,0.2731257190106029,276
103,0.2728859489524542,277
861,0.2710336517495614,278
962B,0.2625714056939172,279
98B,0.2612904026109087,280
105B,0.2534530937249734,281
825,0.25147487669669766,282
58B,0.2457953939573287,283
80A,0.24570020414853694,284
13A,0.2409795079592303,285
112,0.2365378089322516,286
37,0.236071530384349,287
45A,0.2358193982743834,288
177,0.2342314373191952,289
154B,0.2335915137904392,290
86A,0.2328516704061568,291
4,0.2309103558863617,292
83T,0.2276171771087177,293
69,0.22638338421824225,294
125A,0.2252438403953724,295
856A,0.2251571942070596,296
861A,0.2226754087558577,297
182M,0.221824247671845,298
182,0.2190437207371007,299
137A,0.2159369375697386,300
100A,0.2139277821341245,301
150,0.2090779546000062,302
35M,0.2048333266352776,303
62A,0.20286446124885538,304
992,0.2021052554642584,305
154A,0.1988919174116105,306
27A,0.196474406430618,307
42,0.1963188184913075,308
882,0.1959181359688133,309
117A,0.1950335944943279,310
94A,0.1940082289321793,311
53M,0.1937889913047824,312
883,0.1889315775400882,313
189A,0.1799138842637856,314
160A,0.1756538497660219,315
993,0.175262071632809,316
102A,0.1693685474557859,317
871,0.1658250619776156,318
973,0.1626784305828056,319
975,0.1597984083169315,320
19,0.1553827958364615,321
169B,0.1504955418620336,322
139A,0.149798680660308,323
118B,0.1496775757756421,324
29,0.1484971829290668,325
79,0.1451090099570012,326
58A,0.1415689234678999,327
981,0.1406253547889908,328
983M,0.1377749939671924,329
991C,0.135959570980303,330
35,0.1295455310983171,331
870,0.1294993133242886,332
975C,0.1238667518927214,333
856B,0.1227082261458567,334
145A,0.1217514821589625,335
163A,0.1190711146441013,336
248M,0.1151247083447475,337
138A,0.11122807480284798,338
116A,0.1082861326938797,339
39A,0.1065835431014399,340
138B,0.1051186595786055,341
169A,0.1026951734744744,342
79T,0.0983321608549,343
29A,0.0961255792265573,344
163B,0.0952736361555641,345
60A,0.0900999127982782,346
88A,0.0879413816769435,347
9B,0.0836568985531284,348
70B,0.0791146839121288,349
72,0.0782577814110993,350
925A,0.0742436846622482,351
5B,0.0730340979152634,352
114A,0.0695333854845718,353
114,0.0604061988135071,354
254,0.0578792709637103,355
159B,0.0567034955732522,356
112A,0.0559278907293693,357
129B,0.0553329217251253,358
249A,0.053522433298176,359
113A,0.0530107609963381,360
89A,0.0505853560252206,361
86B,0.0471624059466677,362
96,0.0315111339988636,363
96B,0.031068072989374,364
39B,0.0309173360421329,365
78,0.0302465257905614,366
143M,0.0248123009513533,367
78A,0.0245089941484898,368
51A,0.0236865085754082,369
179A,0.0235434979355195,370
181,0.0194003471399755,371
181M,0.0187907187586039,372
403,0.0179194183708031,373
17A,0.0160606677764814,374
72B,0.0144662408198973,375
199,0.0142489788545624,376
72A,0.0134380416317116,377
975A,0.0132407587390748,378
405,0.0125645167481594,379
115,0.0111198256896147,380
883B,0.01026337885709,381
962C,0.0101186574276493,382
106A,0.0095943888893006,383
927,0.0092935764161913,384
84G,0.0092638747231447,385
84W,0.0085368371310067,386
68,0.0081850361626724,387
84A,0.0081419499946713,388
178A,0.0080483481254409,389
170X,0.0073073376270571,390
975B,0.0070600670951332,391
198A,0.0060684814247246,392
102B,0.0056803759767276,393
34A,0.0054284769792348,394
127,0.0048127150573303,395
96A,0.0045928129144527,396
68B,0.0043462922925057,397
6,0.0041677292862063,398
127A,0.0039571630399527,399
973A,0.0030832266825864,400
68A,0.0030084715464122,401
88B,0.0026432126466483,402
